source_id,zotero_key,bibtex_key,doi,pmid,arxiv_id,title,year,venue,method_family,design_modality,input_requirement,output_type,availability_status,code_url,weights_url,pdf_status,screening_status,exclusion_reason
zotero_collection:01_Baker_IPD_2018至今; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,7BT4HA9E,vulovic_i_generation_2021,10.1073/pnas.2015037118,34074752,,Generation of ordered protein assemblies using rigid three-body fusion,2021,Proc Natl Acad Sci U S A,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:02_本地蛋白多肽设计; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,7BU87VV4,zhang_artificial_2025,10.1038/s41591-024-03434-4,,,Artificial intelligence in drug development,2025,Nature Medicine,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:01_Baker_IPD_2018至今; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,7BWEPR4D,yang_j_improved_2020,10.1073/pnas.1914677117,31896580,,Improved protein structure prediction using predicted interresidue orientations,2020,Proc Natl Acad Sci U S A,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,7I3RUFTM,zhao_follow-up_2020,10.1016/j.eclinm.2020.100463,32838236,,Follow-up study of the pulmonary function and related physiological characteristics of COVID-19 survivors three months after recovery.,2020,EClinicalMedicine,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:01_Baker_IPD_2018至今; zotero_collection:04_待补PDF_人工核验; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,7I8JJMU4,ovchinnikov_s_protein_2018,10.1002/prot.25390,28940798,,Protein structure prediction using Rosetta in CASP12,2018,Proteins,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:01_Baker_IPD_2018至今; zotero_collection:04_待补PDF_人工核验; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,7JFL4WNW,shen_h_novo_2018,10.1126/science.aau3775,30409885,,De novo design of self-assembling helical protein filaments,2018,Science,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:AI药物设计_蛋白与多肽,7KHYAJB5,hanna_s_novo_2026,10.1038/s41467-026-71345-8,42151133,,De novo design of a macrocycle-induced dimerization system for cellular control.,2026,Nat Commun,cyclic/macrocyclic peptide design,cyclic or macrocycle structure-aware design,sequence or structure depending on method,designed peptide/miniprotein sequence or structure,zotero metadata; runnable status not checked,,,has Zotero children,included,
zotero_collection:AI药物设计_蛋白与多肽,7L5XKFPT,yeh_ah_novo_2023,10.1038/s41586-023-05696-3,36813896,,De novo design of luciferases using deep learning.,2023,Nature,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:02_本地蛋白多肽设计; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,7OIFPUGW,yang_genecompass_2023,10.1101/2023.09.26.559542,,,GeneCompass: Deciphering Universal Gene Regulatory Mechanisms with Knowledge-Informed Cross-Species Foundation Model,2023,bioRxiv,,,,,zotero metadata; runnable status not checked,,,not checked,needs-manual-check,requires manual relevance review
zotero_collection:01_Baker_IPD_2018至今; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,7RI8ZLGZ,lajoie_mj_designed_2020,10.1126/science.aba6527,32820060,,Designed protein logic to target cells with precise combinations of surface antigens,2020,Science,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,7TJ7YU2Y,zhai_vitro_2019,10.1016/bs.mie.2019.05.051,31727249,,In vitro assay for the development of small molecule inhibitors targeting PD-1/PD-L1.,2019,Methods in enzymology,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:02_本地蛋白多肽设计; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,7X4KBQZ3,jiang_targeting_2021,10.1186/s13045-021-01197-w,,,Targeting CD47 for cancer immunotherapy,2021,J Hematol Oncol,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:02_本地蛋白多肽设计; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,7XF4SLA6,jalil_multivalent_2020,10.1021/acsnano.0c05091,,,"Multivalent, Soluble Nano-Self Peptides Increase Phagocytosis of Antibody-Opsonized Targets while Suppressing “Self” Signaling",2020,ACS Nano,peptide/protein binder design,,sequence or structure depending on method,designed peptide/miniprotein sequence or structure,zotero metadata; runnable status not checked,,,has Zotero children,background-only,outside primary five-year window
zotero_collection:AI药物设计_蛋白与多肽,7Y5ZVT5L,liu_y_bottom-up_2025,10.1038/s41586-025-09646-z,41125887,,Bottom-up design of Ca channels from defined selectivity filter geometry,2025,Nature,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,82IS8YC9,yan_novel_2016,10.18632/oncotarget.9624,27250027,,A novel peptide targeting Clec9a on dendritic cell for cancer immunotherapy.,2016,Oncotarget,peptide/protein binder design,,sequence or structure depending on method,designed peptide/miniprotein sequence or structure,zotero metadata; runnable status not checked,,,has Zotero children,background-only,outside primary five-year window
zotero_collection:01_Baker_IPD_2018至今; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,87SLRCIX,capin_j_cf2h_2026,10.1038/s41467-026-69741-1,41807394,,CF2H: a cell-free two-hybrid platform for rapid protein binder screening.,2026,Nat Commun,miniprotein/protein binder design,structure or sequence conditioned binder design,sequence or structure depending on method,designed peptide/miniprotein sequence or structure,zotero metadata; runnable status not checked,,,has Zotero children,included,
zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,89C6YRNP,gao_identification_2009,10.1016/j.canlet.2009.04.009,19423214,,Identification of a new broad-spectrum CD8+ T cell epitope from over-expressed antigen COX-2 in esophageal carcinoma.,2009,Cancer letters,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:AI药物设计_蛋白与多肽,8A2B6HU2,agonists_cytokines_cancer_therapeutics_chun_jh_design_2025,10.1126/sciimmunol.adx1582,41004565,,Design of a potent interleukin-21 mimic for cancer immunotherapy,2025,Sci Immunol,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,8EEG2YHZ,zhang_development_2021,10.1021/acsami.1c01453,34008947,,Development of Toll-like Receptor Agonist-Loaded Nanoparticles as Precision Immunotherapy for Reprogramming Tumor-Associated Macrophages.,2021,ACS applied materials & interfaces,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:02_本地蛋白多肽设计; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述; zotero_query:peptide design,8KID3CLT,yin_rational_2021,10.1021/jacs.1c08132,,,Rational Design of Potent Peptide Inhibitors of the PD-1:PD-L1 Interaction for Cancer Immunotherapy,2021,Journal of the American Chemical Society,peptide/protein binder design,,sequence or structure depending on method,designed peptide/miniprotein sequence or structure,zotero metadata; runnable status not checked,,,has Zotero children,included,
zotero_collection:02_本地蛋白多肽设计; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,8LX3P9RF,masmoudi_adjusted_2025,10.1038/s41598-025-15265-5,,,Adjusted imbalance ratio leads to effective AI-based drug discovery against infectious disease,2025,Scientific Reports,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:01_Baker_IPD_2018至今; zotero_collection:02_本地蛋白多肽设计; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,8MV2SGQH,baek_accurate_2023,10.1038/s41592-023-02086-5,,,Accurate prediction of protein-nucleic acid complexes using RoseTTAFoldNA,2023,Nat Methods,,,,,zotero metadata; runnable status not checked,,,not checked,needs-manual-check,requires manual relevance review
zotero_collection:02_本地蛋白多肽设计; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,8NAYOLFP,alamdari_protein_2023,10.1101/2023.09.11.556673,,,Protein generation with evolutionary diffusion: sequence is all you need,2023,bioRxiv,generative full-atom or diffusion model,structure/sequence generative modeling,,,zotero metadata; runnable status not checked,,,not checked,background-only,review or broad background source
zotero_collection:AI药物设计_蛋白与多肽,8NLSPL4F,yang_discovery_2025,10.1021/acs.jmedchem.4c01542,39925002,,Discovery of a Novel Selective and Cell-Active N6-Methyladenosine RNA Demethylase ALKBH5 Inhibitor.,2025,Journal of medicinal chemistry,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:02_本地蛋白多肽设计; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,8RWJK9F6,zhang_discovery_2025,10.1016/j.celrep.2025.115836,,,Discovery of peptides as key regulators of metabolic and cardiovascular crosstalk,2025,Cell Reports,peptide/protein binder design,,sequence or structure depending on method,designed peptide/miniprotein sequence or structure,zotero metadata; runnable status not checked,,,has Zotero children,included,
zotero_collection:02_本地蛋白多肽设计; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,8WVJYIDL,wang_learning_2025,,,,Learning Protein-Ligand Binding in Hyperbolic Space,2025,arXiv preprint arXiv:2508.15480,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:02_本地蛋白多肽设计; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,949D84HC,strokach_deep_2022,10.1016/j.sbi.2021.11.008,,,Deep generative modeling for protein design,2022,Current Opinion in Structural Biology,generative full-atom or diffusion model,structure/sequence generative modeling,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:AI药物设计_蛋白与多肽; zotero_query:macrocycle peptide design; zotero_query:peptide design,965SRDDP,mulligan_vk_computational_2020,10.1002/pro.3974,33058266,,Computational design of mixed chirality peptide macrocycles with internal symmetry,2020,Protein Sci,cyclic/macrocyclic peptide design,cyclic or macrocycle structure-aware design,sequence or structure depending on method,designed peptide/miniprotein sequence or structure,zotero metadata; runnable status not checked,,,has Zotero children,background-only,outside primary five-year window
zotero_collection:02_本地蛋白多肽设计; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,98LYP5P7,mcnutt_sprint_2024,,,,SPRINT Enables Interpretable and Ultra-Fast Virtual Screening against Thousands of Proteomes,2024,arXiv preprint arXiv:2411.15418,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:02_本地蛋白多肽设计; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,99ECU1MR,hartman_interpreting_2023,10.1038/s41467-023-41146-4,,,Interpreting biologically informed neural networks for enhanced proteomic biomarker discovery and pathway analysis,2023,Nature Communications,,,,,zotero metadata; runnable status not checked,,,not checked,needs-manual-check,requires manual relevance review
zotero_collection:01_Baker_IPD_2018至今; zotero_collection:02_本地蛋白多肽设计; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述; zotero_query:binder design,9AMWWF3K,yang_design_2025,10.1038/s41467-025-57192-z,,,Design of high-affinity binders to immune modulating receptors for cancer immunotherapy,2025,Nature Communications,miniprotein/protein binder design,structure or sequence conditioned binder design,sequence or structure depending on method,designed peptide/miniprotein sequence or structure,zotero metadata; runnable status not checked,,,has Zotero children,included,
zotero_collection:02_本地蛋白多肽设计; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,9AW4IDWS,koh_ai-driven_2025,10.1038/s44222-025-00349-8,,,AI-driven protein design,2025,Nature Reviews Bioengineering,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:AI药物设计_蛋白与多肽,9CX265RH,quijano-rubio_a_novo_2020,10.1101/2020.07.18.206946,32743576,,De novo design of modular and tunable allosteric biosensors.,2020,bioRxiv,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:01_Baker_IPD_2018至今; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,9GZHBILG,pingitore_v_delocalized_2024,10.1126/sciadv.ado3501,38985859,,"Delocalized quinolinium-macrocyclic peptides, an atypical chemotype for CNS penetration.",2024,Sci Adv,cyclic/macrocyclic peptide design,cyclic or macrocycle structure-aware design,sequence or structure depending on method,designed peptide/miniprotein sequence or structure,zotero metadata; runnable status not checked,,,has Zotero children,included,
zotero_collection:01_Baker_IPD_2018至今; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,9LFKKJRP,antanasijevic_a_structural_2020,10.1371/journal.ppat.1008665,32780770,,"Structural and functional evaluation of de novo-designed, two-component nanoparticle carriers for HIV Env trimer immunogens.",2020,PLoS Pathog,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:AI药物设计_蛋白与多肽,9PKBRCMD,gerben_sr_design_2023,10.1021/acs.biochem.2c00497,36627259,,Design of Diverse Asymmetric Pockets in Homo-oligomeric Proteins,2023,Biochemistry,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:02_本地蛋白多肽设计; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,9QV82ZPZ,yang_antigen_2023,10.1038/s41571-023-00789-4,,,Antigen presentation in cancer — mechanisms and clinical implications for immunotherapy,2023,Nature Reviews Clinical Oncology,,,,,zotero metadata; runnable status not checked,,,not checked,needs-manual-check,requires manual relevance review
zotero_collection:01_Baker_IPD_2018至今; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,9UAILLWI,coventry_b_protein_2021,10.1371/journal.pcbi.1008061,33684097,,Protein sequence optimization with a pairwise decomposable penalty for buried unsatisfied hydrogen bonds,2021,PLoS Comput Biol,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:02_本地蛋白多肽设计; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,A4QUGZP6,vert_how_2023,10.1038/s41587-023-01789-6,,,How will generative AI disrupt data science in drug discovery?,2023,Nature Biotechnology,generative full-atom or diffusion model,structure/sequence generative modeling,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:AI药物设计_蛋白与多肽,A5BCID4E,bryan_cm_computational_2021,10.1073/pnas.2102164118,34272285,,Computational design of a synthetic PD-1 agonist,2021,Proc Natl Acad Sci U S A,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:02_本地蛋白多肽设计; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,A5XA2DD3,abdin_pepnn_2022,10.1038/s42003-022-03445-2,,,PepNN: a deep attention model for the identification of peptide binding sites,2022,Communications Biology,peptide/protein binder design,,sequence or structure depending on method,designed peptide/miniprotein sequence or structure,zotero metadata; runnable status not checked,,,has Zotero children,included,
zotero_collection:AI药物设计_蛋白与多肽,A7ZZ64VB,lisanza_sl_publisher_2025,10.1038/s41587-024-02456-0,39375454,,Publisher Correction: Multistate and functional protein design using RoseTTAFold sequence space diffusion.,2025,Nat Biotechnol,generative full-atom or diffusion model,structure/sequence generative modeling,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:AI药物设计_蛋白与多肽,AAFLE7MG,li_y_water_2025,10.1021/acsnano.4c11317,39714958,,"Water, Solute, and Ion Transport in De Novo-Designed Membrane Protein Channels.",2025,ACS Nano,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:02_本地蛋白多肽设计; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述; zotero_query:binder design; zotero_query:cyclic peptide design; zotero_query:peptide binder design; zotero_query:peptide design,AAN2ZSXB,li_design_2025,10.1038/s42004-025-01601-3,,,Design of linear and cyclic peptide binders from protein sequence information,2025,Communications Chemistry,cyclic/macrocyclic peptide design,cyclic or macrocycle structure-aware design,sequence or structure depending on method,designed peptide/miniprotein sequence or structure,zotero metadata; runnable status not checked,,,has Zotero children,included,
zotero_collection:AI药物设计_蛋白与多肽; zotero_query:binder design,ABBVGHJ2,adams_cs_novo_2025,10.1038/s41467-025-56369-w,39890776,,De novo design of protein minibinder agonists of TLR3.,2025,Nat Commun,miniprotein/protein binder design,structure or sequence conditioned binder design,sequence or structure depending on method,designed peptide/miniprotein sequence or structure,zotero metadata; runnable status not checked,,,has Zotero children,included,
zotero_collection:PD-wiki_多肽从头设计工具方法综述,AEPOWYU0,li_orally_2021,10.1016/j.jconrel.2021.04.036,,,An orally available PD-1/PD-L1 blocking peptide OPBP-1-loaded trimethyl chitosan hydrogel for cancer immunotherapy,2021,J Control Release,peptide/protein binder design,,sequence or structure depending on method,designed peptide/miniprotein sequence or structure,zotero metadata; runnable status not checked,,,not checked,included,
zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,AMNPEAEN,chen_development_2023,10.1016/j.bcp.2023.115800,37696459,,Development of a novel peptide targeting GPR81 to suppress adipocyte-mediated tumor progression.,2023,Biochemical pharmacology,peptide/protein binder design,,sequence or structure depending on method,designed peptide/miniprotein sequence or structure,zotero metadata; runnable status not checked,,,has Zotero children,included,
zotero_collection:02_本地蛋白多肽设计; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,APWMMGU6,krapp_pesto_2023,10.1038/s41467-023-37701-8,,,PeSTo: parameter-free geometric deep learning for accurate prediction of protein binding interfaces,2023,Nature Communications,,,,,zotero metadata; runnable status not checked,,,not checked,needs-manual-check,requires manual relevance review
zotero_collection:AI药物设计_蛋白与多肽,ASKCZUQK,cong_q_protein_2019,10.1126/science.aaw6718,31296772,,Protein interaction networks revealed by proteome coevolution,2019,Science,,,,,zotero metadata; runnable status not checked,,,has Zotero children,background-only,review or broad background source
zotero_collection:02_本地蛋白多肽设计; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,AYC7QZ6S,hickok_beyond_2025,10.1126/science.adz6423,,,Beyond the native repertoire,2025,Science,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,B7IL2EM8,niu_vista_2025,10.1016/j.bbcan.2025.189351,40350098,,VISTA as a context-dependent immune checkpoint: Implications for tumor immunity and autoimmune pathogenesis.,2025,Biochimica et biophysica acta. Reviews on cancer,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,B7XEHF2L,zhou_integrated_2024,10.1186/s12967-024-05127-5,38555418,,An integrated framework for prognosis prediction and drug response modeling in colorectal liver metastasis drug discovery.,2024,Journal of translational medicine,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:AI药物设计_蛋白与多肽,B8RXBM4U,chen_z_novo_2020,10.1126/science.aay2790,32241946,,De novo design of protein logic gates,2020,Science,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:02_本地蛋白多肽设计; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述; zotero_query:binder design; zotero_query:peptide binder design; zotero_query:peptide design,BEJRRDMV,bryant_peptide_2023,10.1038/s42004-023-01029-7,,,Peptide binder design with inverse folding and protein structure prediction,2023,Communications Chemistry,miniprotein/protein binder design,structure or sequence conditioned binder design,sequence or structure depending on method,designed peptide/miniprotein sequence or structure,zotero metadata; runnable status not checked,,,has Zotero children,included,
zotero_collection:AI药物设计_蛋白与多肽,BFFWLHC4,xu_c_computational_2020,10.1038/s41586-020-2646-5,32848250,,Computational design of transmembrane pores,2020,Nature,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:02_本地蛋白多肽设计; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,BG87MTYV,sui_peptide_2023,10.20892/j.issn.2095-3941.2023.0297,,,Peptide drugs: a new direction in cancer immunotherapy,2023,Cancer Biology & Medicine,peptide/protein binder design,,sequence or structure depending on method,designed peptide/miniprotein sequence or structure,zotero metadata; runnable status not checked,,,has Zotero children,included,
zotero_collection:02_本地蛋白多肽设计; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,BGETGF5X,liu_research_2024,,,,Research on Bitter Peptides in the Field of Bioinformatics: A Comprehensive Review,2024,International Journal of Molecular Sciences,peptide/protein binder design,,sequence or structure depending on method,designed peptide/miniprotein sequence or structure,zotero metadata; runnable status not checked,,,has Zotero children,background-only,review or broad background source
zotero_collection:02_本地蛋白多肽设计; zotero_collection:04_待补PDF_人工核验; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,BGL92H57,peng_unified_2026,10.1016/j.cell.2026.01.003,,,Unified modeling of 3D molecular generation via atomic interactions with PocketXMol,2026,Cell,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:01_Baker_IPD_2018至今; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,BH2ZBU8I,shen_h_nucleation_2025,10.1101/2024.09.20.613980,39345553,,Nucleation limited assembly and polarized growth of a de novo-designed allosterically modulatable protein filament.,2025,bioRxiv,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:01_Baker_IPD_2018至今; zotero_collection:04_待补PDF_人工核验; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,BHXFUU4Z,silva_da_novo_2019,10.1038/s41586-018-0830-7,30626941,,De novo design of potent and selective mimics of IL-2 and IL-15,2019,Nature,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:02_本地蛋白多肽设计; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,BJYYHJ82,lei_deep-learning_2021,10.1038/s41467-021-25772-4,,,A deep-learning framework for multi-level peptide–protein interaction prediction,2021,Nature Communications,peptide/protein binder design,,sequence or structure depending on method,designed peptide/miniprotein sequence or structure,zotero metadata; runnable status not checked,,,has Zotero children,included,
zotero_collection:01_Baker_IPD_2018至今; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,BM4D4Q7K,zhang_jz_thermodynamically_2022,10.1038/s41587-022-01280-8,35484405,,Thermodynamically coupled biosensors for detecting neutralizing antibodies against SARS-CoV-2 variants,2022,Nat Biotechnol,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:AI药物设计_蛋白与多肽; zotero_query:miniprotein design,BPC4SH24,chazin-gray_a_novo_2025,10.21203/rs.3.rs-7951484/v1,41282098,,De Novo Design of Miniprotein Inhibitors of Bacterial Adhesins.,2025,Res Sq,miniprotein/protein binder design,structure or sequence conditioned binder design,sequence or structure depending on method,designed peptide/miniprotein sequence or structure,zotero metadata; runnable status not checked,,,has Zotero children,included,
zotero_collection:02_本地蛋白多肽设计; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述; zotero_query:peptide design,BR4AMZPF,chen_design_2024,10.1038/s41467-024-45766-2,,,Design of target specific peptide inhibitors using generative deep learning and molecular dynamics simulations,2024,Nature Communications,generative full-atom or diffusion model,structure/sequence generative modeling,sequence or structure depending on method,designed peptide/miniprotein sequence or structure,zotero metadata; runnable status not checked,,,has Zotero children,included,
zotero_collection:02_本地蛋白多肽设计; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,BRBDQK76,zhang_pre-trained_2025,10.1039/D5CP00785B,,,Pre-trained language models for protein and molecular design,2025,Physical Chemistry Chemical Physics,protein/peptide language model,sequence-conditioned generation,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:AI药物设计_蛋白与多肽,BRNTNU2C,koepnick_b_novo_2019,10.1038/s41586-019-1274-4,31168091,,De novo protein design by citizen scientists,2019,Nature,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:AI药物设计_蛋白与多肽,BSDCU9SY,humphreys_ir_computed_2021,10.1126/science.abm4805,34762488,,Computed structures of core eukaryotic protein complexes,2021,Science,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:AI药物设计_蛋白与多肽,BSLAFJCW,bermeo_s_novo_2022,10.1038/s41594-022-00879-4,36522429,,De novo design of obligate ABC-type heterotrimeric proteins,2022,Nat Struct Mol Biol,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:01_Baker_IPD_2018至今; zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,C2S3BYTY,jiang_h_novo_2024,10.1038/s41589-024-01632-2,38816644,,De novo design of buttressed loops for sculpting protein functions.,2024,Nat Chem Biol,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
zotero_collection:AI药物设计_蛋白与多肽; zotero_collection:PD-wiki_多肽从头设计工具方法综述,C49WDQFF,wu_identification_2023,10.1016/j.bcp.2023.115583,37148978,,Identification of a novel small-molecule inhibitor targeting TIM-3 for cancer immunotherapy.,2023,Biochemical pharmacology,,,,,zotero metadata; runnable status not checked,,,has Zotero children,needs-manual-check,requires manual relevance review
